Order ID,Customer ID,Product ID,Sales Representative,Order Date,Quantity Sold,Unit Price,Revenue,Discount,Profit,Sales Status
ORD-00001,CUST-0149,PROD-0036,Emily Davis,2023-04-19,2,662.99,1180.12,0.11,404.72,Cancelled
ORD-00002,CUST-0122,PROD-0033,Jessica Martinez,2023-09-12,2,121.21,215.75,0.11,74.06,Completed
ORD-00003,CUST-0166,PROD-0012,Michael Brown,2023-06-01,15,571.6,6430.55,0.25,1654.07,Cancelled
ORD-00004,CUST-0235,PROD-0019,Jessica Martinez,2023-01-17,11,496.37,4531.87,0.17,524.38,Completed
ORD-00005,CUST-0025,PROD-0036,Michael Brown,2022-12-04,10,597.93,5620.58,0.06,1997.95,Cancelled
ORD-00006,CUST-0150,PROD-0043,James Anderson,2022-03-25,12,67.91,749.7,0.08,222.52,Pending
ORD-00007,CUST-0182,PROD-0006,Michael Brown,2023-09-02,13,501.89,5480.68,0.16,1088.15,Completed
ORD-00008,CUST-0172,PROD-0028,Emily Davis,2023-10-24,1,200.07,182.06,0.09,28.05,Cancelled
ORD-00009,CUST-0125,PROD-0013,Sarah Johnson,2024-02-24,5,487.05,2337.84,0.04,441.24,Completed
ORD-00010,CUST-0087,PROD-0050,Michael Brown,2023-11-09,20,82.47,1501.01,0.09,223.16,Refunded
ORD-00011,CUST-0106,PROD-0024,Ashley Taylor,2022-02-14,8,69.86,424.73,0.24,120.27,Pending
ORD-00012,CUST-0062,PROD-0020,Ashley Taylor,2023-07-01,16,509.23,6273.76,0.23,992.54,Refunded
ORD-00013,CUST-0073,PROD-0050,Emily Davis,2024-02-27,17,74.6,1141.44,0.1,169.64,Pending
ORD-00014,CUST-0065,PROD-0004,Sarah Johnson,2024-06-12,12,56.35,581.5,0.14,76.05,Cancelled
ORD-00015,CUST-0196,PROD-0011,Emily Davis,2022-03-27,17,166.26,2713.3,0.04,627.43,Refunded
ORD-00016,CUST-0239,PROD-0002,Sarah Johnson,2022-12-24,13,541.81,6127.88,0.13,1046.23,Cancelled
ORD-00017,CUST-0008,PROD-0021,David Wilson,2022-08-18,11,451.32,3971.63,0.2,561.11,Refunded
ORD-00018,CUST-0213,PROD-0009,Sarah Johnson,2023-12-14,16,869.85,12386.68,0.11,1258.18,Completed
ORD-00019,CUST-0056,PROD-0010,David Wilson,2022-09-20,20,666.14,11590.78,0.13,1545.7,Pending
ORD-00020,CUST-0032,PROD-0004,Ashley Taylor,2022-11-05,20,47.26,841.3,0.11,112.11,Completed
ORD-00021,CUST-0132,PROD-0037,Jessica Martinez,2023-10-10,5,231.72,1077.49,0.07,108.25,Pending
ORD-00022,CUST-0107,PROD-0012,John Smith,2023-08-08,3,760.07,1983.78,0.13,412.99,Refunded
ORD-00023,CUST-0121,PROD-0003,Sarah Johnson,2024-06-13,12,560.75,6325.21,0.06,663.34,Cancelled
ORD-00024,CUST-0188,PROD-0043,John Smith,2022-09-04,19,84.45,1315.71,0.18,262.82,Cancelled
