Customer ID,Customer Name,Industry,Location,Customer Segment,Registration Date,Customer Status
CUST-0001,Customer 1,Healthcare,New York,Startup,2023-08-02,Inactive
CUST-0002,Customer 2,Finance,Jacksonville,Enterprise,2021-04-02,Active
CUST-0003,Customer 3,Energy,New York,Enterprise,2023-04-24,Active
CUST-0004,Customer 4,Retail,Dallas,Non-Profit,2021-03-23,Active
CUST-0005,Customer 5,Retail,Jacksonville,Non-Profit,2023-02-23,Churned
CUST-0006,Customer 6,Transportation,San Jose,Startup,2021-03-27,Active
CUST-0007,Customer 7,Energy,Philadelphia,Startup,2020-11-22,Inactive
CUST-0008,Customer 8,Education,Los Angeles,Enterprise,2021-03-16,Churned
CUST-0009,Customer 9,Education,Columbus,Startup,2020-07-17,Pending
CUST-0010,Customer 10,Transportation,Dallas,Enterprise,2020-03-29,Churned
CUST-0011,Customer 11,Real Estate,Phoenix,Non-Profit,2020-06-10,Pending
CUST-0012,Customer 12,Retail,Jacksonville,Enterprise,2023-03-28,Active
CUST-0013,Customer 13,Retail,Fort Worth,Startup,2023-09-16,Active
CUST-0014,Customer 14,Healthcare,San Antonio,Startup,2021-04-21,Churned
CUST-0015,Customer 15,Education,Chicago,Startup,2023-07-25,Pending
CUST-0016,Customer 16,Manufacturing,Jacksonville,Enterprise,2021-03-05,Inactive
CUST-0017,Customer 17,Retail,Chicago,Government,2022-12-29,Churned
CUST-0018,Customer 18,Real Estate,Houston,Startup,2021-07-06,Active
CUST-0019,Customer 19,Technology,Fort Worth,Startup,2021-04-14,Churned
CUST-0020,Customer 20,Healthcare,Houston,Non-Profit,2021-07-02,Pending
CUST-0021,Customer 21,Transportation,San Antonio,Government,2021-03-11,Inactive
CUST-0022,Customer 22,Finance,Houston,Non-Profit,2021-06-26,Pending
CUST-0023,Customer 23,Energy,Charlotte,Non-Profit,2023-04-12,Churned
CUST-0024,Customer 24,Retail,Chicago,Non-Profit,2022-01-11,Churned
CUST-0025,Customer 25,Technology,Columbus,Enterprise,2020-07-05,Inactive
CUST-0026,Customer 26,Finance,Fort Worth,Government,2023-07-09,Active
CUST-0027,Customer 27,Energy,San Jose,Government,2022-02-27,Pending
CUST-0028,Customer 28,Technology,Austin,Enterprise,2023-02-07,Pending
CUST-0029,Customer 29,Education,Los Angeles,Startup,2023-08-05,Churned
CUST-0030,Customer 30,Transportation,New York,Startup,2020-11-19,Inactive
CUST-0031,Customer 31,Healthcare,Columbus,Startup,2022-11-05,Inactive
CUST-0032,Customer 32,Education,Fort Worth,SMB,2020-11-09,Active
CUST-0033,Customer 33,Education,San Diego,Enterprise,2023-05-11,Active
CUST-0034,Customer 34,Manufacturing,Houston,Enterprise,2022-01-13,Inactive
CUST-0035,Customer 35,Healthcare,Los Angeles,Government,2023-03-07,Active
CUST-0036,Customer 36,Finance,Chicago,Government,2022-12-26,Inactive
CUST-0037,Customer 37,Real Estate,Columbus,Non-Profit,2021-06-26,Churned
CUST-0038,Customer 38,Real Estate,Fort Worth,SMB,2021-03-09,Pending
CUST-0039,Customer 39,Education,San Diego,Non-Profit,2022-03-28,Churned
CUST-0040,Customer 40,Retail,Houston,Enterprise,2020-09-04,Pending
CUST-0041,Customer 41,Consulting,Dallas,SMB,2020-02-13,Inactive
