Product ID,Product Name,Category,Supplier,Purchase Date,Unit Cost,Selling Price,Quantity In Stock,Reorder Level,Warehouse Location,Sales Quantity,Revenue,Profit
PRD-1320,Green Tea - Premium,Food & Beverage,Quality Goods Ltd.,2026-01-26,14.69,24.46,218,79,WH-C1,207,5063.22,2022.39
PRD-2157,Deodorant - Standard,Health & Beauty,Premium Suppliers,2024-07-27,11.14,19.46,20,37,WH-D1,169,3288.74,1406.08
PRD-1908,Building Blocks - Ultra,Toys,Quality Goods Ltd.,2024-08-20,37.11,90.2,269,100,WH-C2,42,3788.4,2229.78
PRD-1087,Power Bank - Plus,Electronics,Quality Goods Ltd.,2025-12-03,81.76,135.94,362,88,WH-B1,23,3126.62,1246.14
PRD-1937,Puzzle Set - Standard,Toys,Prime Distributors,2025-01-27,23.98,41.44,410,74,WH-D1,209,8660.96,3649.14
PRD-1459,Spices - Elite,Food & Beverage,Quality Goods Ltd.,2025-12-31,19.89,41.08,498,45,WH-C1,209,8585.72,4428.71
PRD-2051,Face Cream - Ultra,Health & Beauty,FastTrack Logistics,2025-04-28,16.89,30.09,17,88,WH-A2,24,722.16,316.8
PRD-1679,Hiking Boots - Elite,Sports & Outdoors,TechSupply Co.,2025-07-30,60.44,130.85,5,45,WH-B1,130,17010.5,9153.3
PRD-1324,Green Tea - Pro,Food & Beverage,Value Wholesalers,2025-06-17,15.5,26.01,432,78,WH-C1,152,3953.52,1597.52
PRD-1362,Olive Oil - Plus,Food & Beverage,TechSupply Co.,2025-03-02,23.92,43.5,400,53,WH-A2,64,2784.0,1253.12
PRD-1221,Sneakers - Premium,Clothing,Elite Imports,2024-08-21,37.24,81.19,352,27,WH-A2,212,17212.28,9317.4
PRD-1683,Bike Helmet - Premium,Sports & Outdoors,Premium Suppliers,2025-05-26,93.5,137.19,266,58,WH-B2,161,22087.59,7034.09
PRD-1957,Remote Control Car - Lite,Toys,Premium Suppliers,2025-09-25,26.87,61.56,72,95,WH-B1,156,9603.36,5411.64
PRD-1715,Tennis Racket - Lite,Sports & Outdoors,Value Wholesalers,2025-07-20,85.6,135.69,446,36,WH-D1,36,4884.84,1803.24
PRD-1244,Hoodie - Standard,Clothing,Premium Suppliers,2024-09-20,26.46,58.7,103,88,WH-B2,287,16846.9,9252.88
PRD-1171,Denim Jeans - Ultra,Clothing,Quality Goods Ltd.,2024-11-11,42.25,72.94,31,77,WH-B1,175,12764.5,5370.75
PRD-1275,Polo Shirt - Lite,Clothing,Prime Distributors,2025-04-05,73.86,173.1,495,73,WH-D1,68,11770.8,6748.32
PRD-1676,Hiking Boots - Pro,Sports & Outdoors,FastTrack Logistics,2024-12-12,99.55,181.64,66,98,WH-C1,266,48316.24,21835.94
PRD-1860,Poetry Collection - Standard,Books,FastTrack Logistics,2026-02-09,9.92,24.22,207,50,WH-C2,98,2373.56,1401.4
PRD-1667,Camping Tent - Classic,Sports & Outdoors,TechSupply Co.,2025-03-01,86.99,178.52,2,97,WH-B2,121,21600.92,11075.13
PRD-1998,Science Kit - Elite,Toys,Value Wholesalers,2026-04-16,32.78,62.65,442,96,WH-B2,5,313.25,149.35
PRD-1266,Polo Shirt - Standard,Clothing,Global Traders Inc.,2025-01-19,36.3,61.38,114,20,WH-A2,152,9329.76,3812.16
PRD-1851,Art Book - Basic,Books,Global Traders Inc.,2025-03-10,5.7,14.51,172,83,WH-D1,173,2510.23,1524.13
PRD-1200,Casual Shirt - Standard,Clothing,Premium Suppliers,2025-02-07,27.2,44.17,217,30,WH-D1,92,4063.64,1561.24
PRD-1931,Action Figure - Classic,Toys,Premium Suppliers,2026-06-06,39.65,81.56,458,39,WH-D1,263,21450.28,11022.33
PRD-1297,Athletic Socks - Lite,Clothing,Global Traders Inc.,2025-08-03,11.87,25.59,429,29,WH-C1,203,5194.77,2785.16
PRD-1368,Pasta Sauce - Pro,Food & Beverage,Premium Suppliers,2025-02-24,17.49,25.22,114,86,WH-A1,205,5170.1,1584.65
PRD-1668,Camping Tent - Elite,Sports & Outdoors,Quality Goods Ltd.,2024-09-16,52.81,99.93,40,96,WH-C1,125,12491.25,5890.0
PRD-1169,Denim Jeans - Basic,Clothing,Global Traders Inc.,2025-04-07,40.54,64.27,425,56,WH-B1,0,0.0,0.0
PRD-1345,Mixed Nuts - Basic,Food & Beverage,Global Traders Inc.,2025-07-19,7.76,13.17,462,41,WH-C2,0,0.0,0.0
PRD-1448,Rice Crackers - Elite,Food & Beverage,FastTrack Logistics,2026-02-01,15.25,23.28,402,31,WH-A2,222,5168.16,1782.66
PRD-1059,Laptop Stand - Basic,Electronics,Elite Imports,2025-11-16,42.3,89.89,457,33,WH-B2,112,10067.68,5330.08
PRD-1672,Hiking Boots - Premium,Sports & Outdoors,Prime Distributors,2024-12-08,42.42,61.21,393,58,WH-B2,194,11874.74,3645.26
PRD-1332,Protein Bars - Standard,Food & Beverage,TechSupply Co.,2025-04-28,14.57,31.93,52,51,WH-D1,16,510.88,277.76
PRD-1619,Yoga Mat - Deluxe,Sports & Outdoors,Premium Suppliers,2025-11-19,60.68,100.53,392,90,WH-C1,130,13068.9,5180.5
PRD-1024,Bluetooth Speaker - Standard,Electronics,Quality Goods Ltd.,2026-03-10,148.82,351.05,295,80,WH-C1,242,84954.1,48939.66
PRD-1812,History Book - Max,Books,Value Wholesalers,2025-03-07,27.48,68.77,14,35,WH-A2,252,17330.04,10405.08
PRD-1478,Garden Hose - Pro,Home & Garden,Premium Suppliers,2024-10-27,38.0,92.4,186,77,WH-C1,113,10441.2,6147.2
PRD-1291,Athletic Socks - Pro,Clothing,Premium Suppliers,2025-04-09,48.68,145.33,115,58,WH-B2,41,5958.53,3962.65
PRD-1426,Energy Drink - Elite,Food & Beverage,FastTrack Logistics,2025-10-09,21.39,44.63,350,32,WH-B1,116,5177.08,2695.84
PRD-1853,Art Book - Ultra,Books,Quality Goods Ltd.,2025-10-25,4.28,12.82,205,48,WH-B1,47,602.54,401.38
