Product ID,Product Name,Category,Supplier,Current Stock,Minimum Stock Level,Unit Cost,Stock Value,Warehouse Location
PROD-0001,Product 1 - Services,Services,Supplier D,149,26,190.61,28400.89,Warehouse C
PROD-0002,Product 2 - Electronics,Electronics,Supplier C,143,49,340.67,48715.81,Warehouse B
PROD-0003,Product 3 - Electronics,Electronics,Supplier D,166,29,321.35,53344.1,Warehouse A
PROD-0004,Product 4 - Software,Software,Supplier A,29,41,32.22,934.38,Warehouse B
PROD-0005,Product 5 - Accessories,Accessories,Supplier E,107,44,76.48,8183.36,Warehouse B
PROD-0006,Product 6 - Services,Services,Supplier C,104,49,330.91,34414.64,Warehouse A
PROD-0007,Product 7 - Hardware,Hardware,Supplier A,92,25,116.46,10714.32,Warehouse C
PROD-0008,Product 8 - Accessories,Accessories,Supplier C,101,13,451.83,45634.83,Warehouse B
PROD-0009,Product 9 - Electronics,Electronics,Supplier B,169,15,475.02,80278.38,Warehouse A
PROD-0010,Product 10 - Electronics,Electronics,Supplier B,144,18,395.53,56956.32,Warehouse A
PROD-0011,Product 11 - Accessories,Accessories,Supplier B,84,24,111.51,9366.84,Warehouse A
PROD-0012,Product 12 - Hardware,Hardware,Supplier C,138,18,430.62,59425.56,Warehouse B
PROD-0013,Product 13 - Electronics,Electronics,Supplier B,91,10,333.92,30386.72,Warehouse C
PROD-0014,Product 14 - Electronics,Electronics,Supplier A,134,36,95.38,12780.92,Warehouse A
PROD-0015,Product 15 - Services,Services,Supplier D,27,47,229.65,6200.55,Warehouse B
PROD-0016,Product 16 - Accessories,Accessories,Supplier D,77,43,31.25,2406.25,Warehouse A
PROD-0017,Product 17 - Electronics,Electronics,Supplier A,175,37,499.31,87379.25,Warehouse D
PROD-0018,Product 18 - Services,Services,Supplier A,37,48,46.01,1702.37,Warehouse B
PROD-0019,Product 19 - Hardware,Hardware,Supplier E,97,30,315.92,30644.24,Warehouse C
PROD-0020,Product 20 - Services,Services,Supplier E,167,17,257.72,43039.24,Warehouse B
PROD-0021,Product 21 - Services,Services,Supplier D,116,31,231.26,26826.16,Warehouse D
PROD-0022,Product 22 - Electronics,Electronics,Supplier B,95,26,163.15,15499.25,Warehouse D
PROD-0023,Product 23 - Electronics,Electronics,Supplier C,24,37,54.7,1312.8,Warehouse B
PROD-0024,Product 24 - Accessories,Accessories,Supplier A,84,45,39.39,3308.76,Warehouse D
PROD-0025,Product 25 - Hardware,Hardware,Supplier A,184,37,438.07,80604.88,Warehouse C
PROD-0026,Product 26 - Accessories,Accessories,Supplier B,54,42,163.1,8807.4,Warehouse D
PROD-0027,Product 27 - Software,Software,Supplier A,94,45,425.16,39965.04,Warehouse C
PROD-0028,Product 28 - Accessories,Accessories,Supplier E,196,45,120.82,23680.72,Warehouse A
PROD-0029,Product 29 - Accessories,Accessories,Supplier B,7,27,465.25,3256.75,Warehouse C
PROD-0030,Product 30 - Hardware,Hardware,Supplier E,36,21,461.55,16615.8,Warehouse D
PROD-0031,Product 31 - Electronics,Electronics,Supplier E,23,11,79.52,1828.96,Warehouse B
PROD-0032,Product 32 - Services,Services,Supplier C,79,33,215.72,17041.88,Warehouse A
PROD-0033,Product 33 - Electronics,Electronics,Supplier A,172,13,86.23,14831.56,Warehouse C
PROD-0034,Product 34 - Services,Services,Supplier C,106,38,334.35,35441.1,Warehouse B
PROD-0035,Product 35 - Accessories,Accessories,Supplier E,173,28,65.77,11378.21,Warehouse D
PROD-0036,Product 36 - Accessories,Accessories,Supplier A,153,35,336.89,51544.17,Warehouse A
PROD-0037,Product 37 - Software,Software,Supplier C,195,18,157.7,30751.5,Warehouse C
PROD-0038,Product 38 - Hardware,Hardware,Supplier B,44,37,68.79,3026.76,Warehouse D
PROD-0039,Product 39 - Accessories,Accessories,Supplier D,18,32,354.8,6386.4,Warehouse A
PROD-0040,Product 40 - Services,Services,Supplier D,147,30,19.18,2819.46,Warehouse D
PROD-0041,Product 41 - Services,Services,Supplier E,43,30,151.86,6529.98,Warehouse D
PROD-0042,Product 42 - Hardware,Hardware,Supplier E,111,25,53.18,5902.98,Warehouse D
PROD-0043,Product 43 - Accessories,Accessories,Supplier C,56,31,48.54,2718.24,Warehouse B
PROD-0044,Product 44 - Electronics,Electronics,Supplier C,49,42,260.14,12746.86,Warehouse C
PROD-0045,Product 45 - Software,Software,Supplier E,44,22,125.77,5533.88,Warehouse B
PROD-0046,Product 46 - Electronics,Electronics,Supplier E,118,41,96.8,11422.4,Warehouse D
PROD-0047,Product 47 - Accessories,Accessories,Supplier C,160,30,325.07,52011.2,Warehouse B
PROD-0048,Product 48 - Services,Services,Supplier E,70,29,43.46,3042.2,Warehouse A
PROD-0049,Product 49 - Hardware,Hardware,Supplier A,9,38,258.6,2327.4,Warehouse C
PROD-0050,Product 50 - Hardware,Hardware,Supplier E,157,15,47.6,7473.2,Warehouse D
