Lead ID,Customer Name,Sales Stage,Opportunity Value,Probability %,Expected Revenue,Sales Owner,Closing Date
LEAD-0001,Customer 241,Closed Lost,60364.08,0.0,0.0,Sarah Johnson,2024-01-05
LEAD-0002,Customer 139,Closed Lost,82007.28,0.0,0.0,Sarah Johnson,2024-12-28
LEAD-0003,Customer 52,Qualification,48562.12,0.25,12140.53,Ashley Taylor,2024-10-15
LEAD-0004,Customer 209,Qualification,31431.11,0.25,7857.78,Michael Brown,2024-09-02
LEAD-0005,Customer 63,Prospecting,54809.12,0.1,5480.91,Sarah Johnson,2024-05-16
LEAD-0006,Customer 6,Prospecting,11178.72,0.1,1117.87,Sarah Johnson,2024-05-31
LEAD-0007,Customer 131,Negotiation,15041.67,0.75,11281.25,John Smith,2024-04-24
LEAD-0008,Customer 59,Negotiation,39152.92,0.75,29364.69,David Wilson,2024-06-29
LEAD-0009,Customer 58,Closed Lost,39089.64,0.0,0.0,Ashley Taylor,2024-02-27
LEAD-0010,Customer 44,Prospecting,23227.72,0.1,2322.77,Jessica Martinez,2024-05-24
LEAD-0011,Customer 20,Closed Won,34038.75,1.0,34038.75,Sarah Johnson,2024-07-03
LEAD-0012,Customer 230,Prospecting,60846.13,0.1,6084.61,James Anderson,2024-04-01
LEAD-0013,Customer 136,Proposal,60361.54,0.5,30180.77,James Anderson,2024-12-13
LEAD-0014,Customer 39,Closed Lost,69028.91,0.0,0.0,David Wilson,2024-11-15
LEAD-0015,Customer 90,Prospecting,27838.23,0.1,2783.82,Jessica Martinez,2024-09-12
LEAD-0016,Customer 239,Proposal,81261.22,0.5,40630.61,Sarah Johnson,2024-12-30
LEAD-0017,Customer 202,Prospecting,86309.68,0.1,8630.97,Michael Brown,2024-03-17
LEAD-0018,Customer 82,Qualification,39669.36,0.25,9917.34,Sarah Johnson,2024-09-01
LEAD-0019,Customer 29,Closed Won,43317.86,1.0,43317.86,Michael Brown,2024-05-22
LEAD-0020,Customer 24,Proposal,99482.4,0.5,49741.2,James Anderson,2024-04-03
LEAD-0021,Customer 91,Proposal,49926.44,0.5,24963.22,James Anderson,2024-09-03
